Desired Depth,Initial Ablation Time,Kp,Kd
0.5,1.0,3.0,1.0

Timestamp,Current Depth,Error,Derivative Error,Calculated Time ON
2024-04-25 19:34:31,0.0638,0.4362,0.4362,1.7448
2024-04-25 19:35:34,0.1915,0.3085,-0.1277,0.7978
2024-04-25 19:39:38,0.3024,0.1976,-0.1109,0.4819
2024-04-25 19:40:45,0.2804,0.2196,0.022,0.6808
2024-04-25 19:41:41,0.3827,0.1173,-0.1023,0.2496
2024-04-25 19:42:46,0.4371,0.0629,-0.0544,0.2
2024-04-25 19:43:46,0.4372,0.0628,-0.0001,0.2
2024-04-25 19:44:45,0.4771,0.0229,-0.0399,0.2
2024-04-25 19:45:47,0.4793,0.0207,-0.0022,0.2
2024-04-25 19:46:39,0.5156,-0.0156,-0.0363,-143
